id,nome,preco,quantidade
1,Produto 1,20.44,16
2,Produto 2,107.26,45
3,Produto 3,835.18,42
4,Produto 4,327.55,5
5,Produto 5,690.95,6
6,Produto 6,469.66,19
7,Produto 7,515.74,33
8,Produto 8,304.76,14
9,Produto 9,672.43,13
10,Produto 10,822.86,21
11,Produto 11,164.43,3
12,Produto 12,965.26,43
13,Produto 13,57.81,41
14,Produto 14,943.29,3
15,Produto 15,405.43,43
16,Produto 16,612.69,16
17,Produto 17,895.79,37
18,Produto 18,267.88,37
19,Produto 19,985.2,26
20,Produto 20,657.22,4
21,Produto 21,455.78,37
22,Produto 22,74.33,10
23,Produto 23,482.52,17
24,Produto 24,444.22,47
25,Produto 25,28.73,6
26,Produto 26,445.31,6
27,Produto 27,314.31,35
28,Produto 28,637.63,27
29,Produto 29,745.59,30
30,Produto 30,480.86,40
31,Produto 31,105.88,35
32,Produto 32,804.72,44
33,Produto 33,115.96,15
34,Produto 34,92.54,3
35,Produto 35,785.21,35
36,Produto 36,965.11,49
37,Produto 37,594.55,34
38,Produto 38,75.1,39
39,Produto 39,542.64,45
40,Produto 40,870.0,45
41,Produto 41,636.01,42
42,Produto 42,953.81,48
43,Produto 43,829.09,17
44,Produto 44,614.43,31
45,Produto 45,787.58,2
46,Produto 46,690.18,24
47,Produto 47,259.69,3
48,Produto 48,349.26,2
49,Produto 49,807.22,5
50,Produto 50,638.73,30
