ano,mes,data_referencia,populacao_estim,fonte
1991,1,1991-01-01,24261,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1991,2,1991-02-01,25325,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1991,3,1991-03-01,26285,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1991,4,1991-04-01,27349,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1991,5,1991-05-01,28378,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1991,6,1991-06-01,29442,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1991,7,1991-07-01,30471,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1991,8,1991-08-01,31535,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1991,9,1991-09-01,32599,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1991,10,1991-10-01,33628,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1991,11,1991-11-01,34692,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1991,12,1991-12-01,35721,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1992,1,1992-01-01,36785,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1992,2,1992-02-01,37849,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1992,3,1992-03-01,38844,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1992,4,1992-04-01,39907,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1992,5,1992-05-01,40937,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1992,6,1992-06-01,42000,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1992,7,1992-07-01,43030,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1992,8,1992-08-01,44093,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1992,9,1992-09-01,45157,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1992,10,1992-10-01,46186,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1992,11,1992-11-01,47250,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1992,12,1992-12-01,48279,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1993,1,1993-01-01,49343,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1993,2,1993-02-01,50407,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1993,3,1993-03-01,51368,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1993,4,1993-04-01,52431,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1993,5,1993-05-01,53461,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1993,6,1993-06-01,54524,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1993,7,1993-07-01,55554,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1993,8,1993-08-01,56617,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1993,9,1993-09-01,57681,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1993,10,1993-10-01,58710,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1993,11,1993-11-01,59774,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1993,12,1993-12-01,60803,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1994,1,1994-01-01,61867,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1994,2,1994-02-01,62931,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1994,3,1994-03-01,63892,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1994,4,1994-04-01,64955,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1994,5,1994-05-01,65985,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1994,6,1994-06-01,67048,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1994,7,1994-07-01,68078,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1994,8,1994-08-01,69141,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1994,9,1994-09-01,70205,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1994,10,1994-10-01,71234,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1994,11,1994-11-01,72298,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1994,12,1994-12-01,73327,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1995,1,1995-01-01,74391,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1995,2,1995-02-01,75455,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1995,3,1995-03-01,76415,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1995,4,1995-04-01,77479,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1995,5,1995-05-01,78508,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1995,6,1995-06-01,79572,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1995,7,1995-07-01,80602,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1995,8,1995-08-01,81665,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1995,9,1995-09-01,82729,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1995,10,1995-10-01,83758,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1995,11,1995-11-01,84822,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1995,12,1995-12-01,85851,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1996,1,1996-01-01,86915,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1996,2,1996-02-01,87979,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1996,3,1996-03-01,88974,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1996,4,1996-04-01,90037,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1996,5,1996-05-01,91067,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1996,6,1996-06-01,92130,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1996,7,1996-07-01,93160,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1996,8,1996-08-01,94223,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1996,9,1996-09-01,95287,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1996,10,1996-10-01,96316,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1996,11,1996-11-01,97380,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1996,12,1996-12-01,98410,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1997,1,1997-01-01,99473,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1997,2,1997-02-01,100537,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1997,3,1997-03-01,101498,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1997,4,1997-04-01,102561,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1997,5,1997-05-01,103591,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1997,6,1997-06-01,104654,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1997,7,1997-07-01,105684,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1997,8,1997-08-01,106747,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1997,9,1997-09-01,107811,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1997,10,1997-10-01,108840,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1997,11,1997-11-01,109904,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
1997,12,1997-12-01,110933,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
