ano,mes,temp_max_media_mes,populacao_estim,populacao_estim_lag1,delta_pop_abs,delta_pop_pct
1993,10,,58710,,,
1993,11,33.6,59774,58710.0,1064.0,1.8122977346278317
1993,12,31.8,60803,59774.0,1029.0,1.721484257369425
1994,1,31.0,61867,60803.0,1064.0,1.7499136555762054
1994,2,31.0,62931,61867.0,1064.0,1.7198183199443968
1994,3,30.8,63892,62931.0,961.0,1.5270693299010027
1994,4,32.5,64955,63892.0,1063.0,1.6637450698052965
1994,5,33.8,65985,64955.0,1030.0,1.585713186051882
1994,6,32.7,67048,65985.0,1063.0,1.6109721906493901
1994,7,33.4,68078,67048.0,1030.0,1.536212862426918
1994,8,35.2,69141,68078.0,1063.0,1.561444225741062
1994,9,36.4,70205,69141.0,1064.0,1.5388843088760649
1994,10,34.9,71234,70205.0,1029.0,1.4657075706858484
1994,11,32.9,72298,71234.0,1064.0,1.4936687536850382
1994,12,,73327,72298.0,1029.0,1.423275885916623
1995,1,31.7,74391,73327.0,1064.0,1.451034407517013
1995,2,31.2,75455,74391.0,1064.0,1.430280544689546
1995,3,31.8,76415,75455.0,960.0,1.2722814922801668
1995,4,31.1,77479,76415.0,1064.0,1.3923967807367663
1995,5,31.6,78508,77479.0,1029.0,1.328101808231908
1995,6,32.7,79572,78508.0,1064.0,1.3552758954501452
1995,7,33.5,80602,79572.0,1030.0,1.2944251746845623
1995,8,35.4,81665,80602.0,1063.0,1.3188258355872062
1995,9,36.7,82729,81665.0,1064.0,1.3028837323210678
1995,10,34.3,83758,82729.0,1029.0,1.2438201839741807
1995,11,32.0,84822,83758.0,1064.0,1.2703264165811028
1995,12,31.9,85851,84822.0,1029.0,1.2131286694489638
1996,1,31.8,86915,85851.0,1064.0,1.2393565596207383
1996,2,31.8,87979,86915.0,1064.0,1.2241845481217282
1996,3,31.3,88974,87979.0,995.0,1.1309517043840007
1996,4,31.6,90037,88974.0,1063.0,1.194731045024389
1996,5,32.7,91067,90037.0,1030.0,1.1439741439630373
1996,6,32.6,92130,91067.0,1063.0,1.167272447758244
1996,7,34.1,93160,92130.0,1030.0,1.117985455334853
1996,8,35.8,94223,93160.0,1063.0,1.1410476599398884
1996,9,37.1,95287,94223.0,1064.0,1.129235961495601
1996,10,32.9,96316,95287.0,1029.0,1.0798954736742683
1996,11,32.0,97380,96316.0,1064.0,1.1046970389135762
1996,12,32.4,98410,97380.0,1030.0,1.057712055863627
1997,1,30.6,99473,98410.0,1063.0,1.0801747789858753
1997,2,32.1,100537,99473.0,1064.0,1.069636986921074
1997,3,29.9,101498,100537.0,961.0,0.9558669942409262
1997,4,31.7,102561,101498.0,1063.0,1.0473112770694988
1997,5,31.8,103591,102561.0,1030.0,1.0042803794814794
1997,6,33.2,104654,103591.0,1063.0,1.026150920446757
1997,7,33.4,105684,104654.0,1030.0,0.9841955395875934
1997,8,35.6,106747,105684.0,1063.0,1.0058286968699142
1997,9,35.5,107811,106747.0,1064.0,0.9967493231659905
1997,10,34.6,108840,107811.0,1029.0,0.9544480618860784
1997,11,34.5,109904,108840.0,1064.0,0.9775817714075707
1997,12,32.2,110933,109904.0,1029.0,0.9362716552627748
