Ano,Populacao_Estimada,Temperatura_Media_Anual
2000,137045,26.916666666666668
2001,146174,26.541666666666668
2002,155303,26.966666666666665
2003,164431,26.833333333333332
2004,173560,27.05
2005,182689,27.325
2006,191818,26.9
2007,200946,27.5
2008,210075,26.933333333333334
2009,219204,27.0
2010,228332,27.875
2011,234563,26.991666666666667
2012,240794,27.0
2013,247025,27.35
2014,253256,27.4
2015,259487,27.85
2016,265718,28.4
2017,271949,27.9
2018,278180,27.275
2019,284411,27.95
2020,290642,28.116666666666667
2021,296873,27.416666666666668
2022,302692,27.508333333333333
2023,313146,27.866666666666667
2024,323600,28.241666666666667
